City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,George Town,MY,2021-07-20 01:51:14,5.4112,100.3354,85.93,83,20,1.01,haze
90,Harnosand,SE,2021-07-20 01:51:13,62.6323,17.9379,57.2,71,100,13.53,overcast clouds
91,Pombas,CV,2021-07-20 01:51:15,17.1503,-25.0201,74.98,87,52,10.45,broken clouds
92,Saldanha,ZA,2021-07-20 01:47:03,-33.0117,17.9442,51.85,71,100,16.73,overcast clouds
93,Jizan,SA,2021-07-20 01:51:15,17.3333,42.6667,77.94,62,100,2.82,overcast clouds
94,Kruisfontein,ZA,2021-07-20 01:51:15,-34.0033,24.7314,49.89,84,100,6.38,overcast clouds
95,Teguldet,RU,2021-07-20 01:51:16,57.3064,88.1667,65.62,64,18,1.01,few clouds
96,Saint George,US,2021-07-20 01:51:16,37.1041,-113.5841,88.27,54,75,1.01,broken clouds
97,Jaguarari,BR,2021-07-20 01:50:46,-10.2639,-40.1958,64.63,86,0,5.61,clear sky
98,Carutapera,BR,2021-07-20 01:51:17,-1.195,-46.02,75.24,91,2,4.47,clear sky
99,Cap Malheureux,MU,2021-07-20 01:51:17,-19.9842,57.6142,70.29,71,0,5.01,clear sky
100,Qena,EG,2021-07-20 01:51:17,26.1615,32.7183,87.91,14,54,9.42,broken clouds
101,Paamiut,GL,2021-07-20 01:51:18,61.994,-49.6678,43.48,80,41,6.78,scattered clouds
102,Alpena,US,2021-07-20 01:51:18,45.0617,-83.4327,80.92,54,1,3.44,clear sky
103,Ornskoldsvik,SE,2021-07-20 01:48:46,63.2909,18.7153,55.22,71,90,14.97,overcast clouds
104,Cururupu,BR,2021-07-20 01:51:18,-1.8283,-44.8683,73.92,94,3,2.33,clear sky
105,Thompson,CA,2021-07-20 01:46:51,55.7435,-97.8558,69.96,35,20,3.44,few clouds
106,Bridlington,GB,2021-07-20 01:51:19,54.0831,-0.1919,62.15,92,43,3.69,scattered clouds
107,Pangoa,PE,2021-07-20 01:51:19,-12.1167,-73.0,64.49,88,83,1.23,broken clouds
108,Berlevag,NO,2021-07-20 01:48:23,70.8578,29.0864,44.4,75,22,25.1,few clouds
109,Henties Bay,NA,2021-07-20 01:51:20,-22.116,14.2845,56.86,81,0,8.88,clear sky
110,Arica,CL,2021-07-20 01:51:20,-18.475,-70.3042,57.43,77,0,2.3,clear sky
111,Brest,BY,2021-07-20 01:51:11,52.1,23.7,58.37,84,39,6.2,scattered clouds
112,Roald,NO,2021-07-20 01:51:20,62.5833,6.1333,58.15,88,75,18.41,drizzle
113,Spoleto,IT,2021-07-20 01:51:21,42.7448,12.7374,67.78,79,0,4.9,clear sky
114,Bata,GQ,2021-07-20 01:50:02,1.8639,9.7658,76.86,94,40,4.61,scattered clouds
115,Zlatoust,RU,2021-07-20 01:51:21,55.1711,59.6508,62.13,71,16,2.35,few clouds
