City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Orbetello,IT,71.8,clear sky,42.4408,11.2196,Argentario Golf Resort & Spa
169,Sharanga,RU,64.89,overcast clouds,57.1775,46.5396,Yuronga
170,Bolu,TR,68.68,clear sky,40.6667,31.5833,Sefa Green Hotel
171,Nikolsk,RU,66.99,broken clouds,53.7189,46.0712,Гостиница Центральная
177,Rodrigues Alves,BR,68.04,clear sky,-7.738,-72.6509,Pousada Aconchego
179,Nantucket,US,70.0,overcast clouds,41.2835,-70.0995,Jared Coffin House
187,Plouzane,FR,68.09,clear sky,48.3833,-4.6167,Carrefour Voyages Plouzané
189,Umuahia,NG,71.8,overcast clouds,5.5263,7.4896,Hotel Macbek Limited
196,Zhytomyr,UA,63.68,overcast clouds,50.2649,28.6767,Reikartz
198,Cerignola,IT,70.56,clear sky,41.264,15.9005,Hotel Veronese
203,Ogaminana,NG,71.24,overcast clouds,7.5946,6.2248,Mashida Guest House
204,Natal,BR,74.05,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
208,Muros,ES,66.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
210,Porto Torres,IT,68.18,clear sky,40.835,8.3972,Hotel Elisa
212,Palpa,PE,65.61,clear sky,-14.5336,-75.1856,Palpa Lines
218,Marzuq,YE,72.32,overcast clouds,14.4,46.4667,
222,Lixourion,GR,73.92,clear sky,38.2019,20.4314,Hotel Summery
223,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
225,Muzhi,RU,66.88,scattered clouds,65.3667,64.6667,
227,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
230,Antalaha,MG,68.2,light rain,-14.9003,50.2788,Hotel Vitasoa
232,Puerto Del Rosario,ES,73.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
236,Nanga Eboko,CM,67.23,light rain,4.6833,12.3667,Motel Papi Palace
237,Ginda,IN,66.54,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
245,Porto Santo,PT,71.31,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
246,Ceuta,ES,69.82,light rain,35.8903,-5.3075,Ceuta Puerta de Africa
247,Lyubech,UA,62.37,overcast clouds,51.7026,30.6569,
252,Aksarka,RU,65.86,broken clouds,66.5606,67.7975,
259,Sao Felix Do Xingu,BR,74.28,few clouds,-6.6447,-51.995,Rio Xingu Camping
260,Inhambane,MZ,64.17,few clouds,-23.865,35.3833,Oceano
261,Krasnaya Gora,RU,66.11,broken clouds,52.9995,31.6023,
263,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
265,Vallenar,CL,60.71,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
268,Baft,IR,70.05,few clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
272,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
276,Santa Isabel Do Rio Negro,BR,72.64,clear sky,-0.4139,-65.0192,Hotel GSA
279,Bethel Park,US,73.53,clear sky,40.3276,-80.0395,"Crowne Plaza Suites Pittsburgh South, an IHG Hotel"
280,Inirida,CO,72.32,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
285,Tyumentsevo,RU,65.19,overcast clouds,53.3224,81.498,
301,Gamba,GA,70.11,clear sky,-2.65,10.0,
303,Tomaszow Mazowiecki,PL,60.57,clear sky,51.5313,20.0086,Hotel Mazowiecki
306,Kushmurun,KZ,63.95,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
